deck,card name,category,secondary categories,label,modifier,salt,color,cmc,rarity,types,price,card text,art
the-nobles,Imperial Seal,Tutor,,default,Normal,1.35,Black,1,mythic,Sorcery,179.99,"Search your library for a card, then shuffle and put that card on top. You lose 2 life.",images/card_art/Imperial_Seal/Imperial_Seal_2x2_79_e71a6bd3.png
the-nobles,Vampiric Tutor,Tutor,,default,Normal,1.6,Black,1,mythic,Instant,84.99,"Search your library for a card, then shuffle and put that card on top. You lose 2 life.",images/card_art/Vampiric_Tutor/Vampiric_Tutor_cmr_156_18bd50f2.png
the-nobles,Reanimate,Recursion,,default,Normal,0.79,Black,1,rare,Sorcery,11.99,Put target creature card from a graveyard onto the battlefield under your control. You lose life equal to that card's mana value.,images/card_art/Reanimate/Reanimate_dsc_155_368b6903.png
the-nobles,Sol Ring,Ramp,,default,Normal,1.46,,1,uncommon,Artifact,2.49,{T}: Add {C}{C}.,images/card_art/Sol_Ring/Sol_Ring_afc_215_2c52c96d.png
the-nobles,Damn,Removal,,default,Normal,0.36,Black,2,rare,Sorcery,2.79,"Destroy target creature. A creature destroyed this way can't be regenerated. Overload {2}{W}{W} (You may cast this spell for its overload cost. If you do, change ""target"" in its text to ""each."")",images/card_art/Damn/Damn_drc_89_1b25c224.png
the-nobles,Demonic Tutor,Tutor,,default,Normal,1.58,Black,2,mythic,Sorcery,74.99,"Search your library for a card, put that card into your hand, then shuffle.",images/card_art/Demonic_Tutor/Demonic_Tutor_plst_UMA-93_a7094d56.png
the-nobles,Enlightened Tutor,Tutor,,default,Normal,1.15,White,1,rare,Instant,37.99,"Search your library for an artifact or enchantment card, reveal it, then shuffle and put that card on top.",images/card_art/Enlightened_Tutor/Enlightened_Tutor_ema_9_0c9ebec9.png
the-nobles,Arcane Signet,Ramp,,default,Normal,0.24,,2,common,Artifact,0.99,{T}: Add one mana of any color in your commander's color identity.,images/card_art/Arcane_Signet/Arcane_Signet_blc_127_28180667.png
the-nobles,Sidequest: Catch a Fish // Cooking Campsite,Ramp,,default,Normal,0.19,White,3,uncommon,"Enchantment,Land",0.35,"At the beginning of your upkeep, look at the top card of your library. If it's an artifact or creature card, you may reveal it and put it into your hand. If you put a card into your hand this way, create a Food token and transform this enchantment. // {T}: Add {W}. {3}, {T}, Sacrifice an artifact: Put a +1/+1 counter on each creature you control. Activate only as a sorcery.",images/card_art/Sidequest_Catch_a_Fish_Cooking_Campsite/Sidequest_Catch_a_Fish_Cooking_Campsite_fin_31_bdb5452e_front.png
the-nobles,Anguished Unmaking,Removal,,default,Normal,0.23,"White,Black",3,rare,Instant,4.49,Exile target nonland permanent. You lose 3 life.,images/card_art/Anguished_Unmaking/Anguished_Unmaking_2x2_170_16de91dc.png
the-nobles,Wedding Announcement // Wedding Festivity,Draw,,default,Normal,0.33,White,3,rare,"Enchantment,Enchantment",0.79,"At the beginning of your end step, put an invitation counter on this enchantment. If you attacked with two or more creatures this turn, draw a card. Otherwise, create a 1/1 white Human creature token. Then if this enchantment has three or more invitation counters on it, transform it. // Creatures you control get +1/+1.",images/card_art/Wedding_Announcement_Wedding_Festivity/Wedding_Announcement_Wedding_Festivity_inr_51_4e6f365d_front.png
the-nobles,Herald's Horn,Ramp,,default,Normal,0.21,,3,uncommon,Artifact,6.49,"As this artifact enters, choose a creature type. Creature spells you cast of the chosen type cost {1} less to cast. At the beginning of your upkeep, look at the top card of your library. If it's a creature card of the chosen type, you may reveal it and put it into your hand.",images/card_art/Herald's_Horn/Herald's_Horn_clb_862_178274fd.png
the-nobles,Victimize,Recursion,,default,Normal,0.32,Black,3,uncommon,Sorcery,1.49,"Choose two target creature cards in your graveyard. Sacrifice a creature. If you do, return the chosen cards to the battlefield tapped.",images/card_art/Victimize/Victimize_afc_112_1303644e.png
the-nobles,Patchwork Banner,Ramp,,default,Normal,0.5,,3,uncommon,Artifact,10.99,"As this artifact enters, choose a creature type. Creatures you control of the chosen type get +1/+1. {T}: Add one mana of any color.",images/card_art/Patchwork_Banner/Patchwork_Banner_pmei_2024-7_36034cb5.png
the-nobles,Anointed Procession,Tokens,,default,Normal,0.96,White,4,rare,Enchantment,69.99,"If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead.",images/card_art/Anointed_Procession/Anointed_Procession_pakh_2s_a425c968.png
the-nobles,Smothering Tithe,Ramp,,default,Normal,2.58,White,4,mythic,Enchantment,64.99,"Whenever an opponent draws a card, that player may pay {2}. If the player doesn't, you create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",images/card_art/Smothering_Tithe/Smothering_Tithe_2x2_31_f25a4bbe.png
the-nobles,Ruinous Ultimatum,Removal,,default,Normal,1.02,"White,Red,Black",7,rare,Sorcery,2.99,Destroy all nonland permanents your opponents control.,images/card_art/Ruinous_Ultimatum/Ruinous_Ultimatum_iko_204_50c1d6ca.png
the-nobles,Vanquisher's Banner,Draw,,default,Normal,0.26,,5,rare,Artifact,6.49,"As this artifact enters, choose a creature type. Creatures you control of the chosen type get +1/+1. Whenever you cast a creature spell of the chosen type, draw a card.",images/card_art/Vanquisher's_Banner/Vanquisher's_Banner_cmm_982_8162961c.png
the-nobles,Dazzling Theater // Prop Room,Ramp,,default,Normal,0.24,White,7,rare,"Enchantment,Enchantment",1.79,"Creature spells you cast have convoke. (Your creatures can help cast those spells. Each creature you tap while casting a creature spell pays for {1} or one mana of that creature's color.) (You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.) // Untap each creature you control during each other player's untap step. (You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)",images/card_art/Dazzling_Theater_Prop_Room/Dazzling_Theater_Prop_Room_dsk_3_8e2fae80.png
the-nobles,All-Out Assault,Anthem,,default,Normal,0.32,"White,Red,Black",5,mythic,Enchantment,4.49,"Creatures you control get +1/+1 and have deathtouch. When this enchantment enters, if it's your main phase, there is an additional combat phase after this phase followed by an additional main phase. When you next attack this turn, untap each creature you control.",images/card_art/All-Out_Assault/All-Out_Assault_ptdm_167p_99b64c3f.png
the-nobles,Falkenrath Gorger,Draw,,default,Normal,0.32,Red,1,rare,Creature,0.49,"Each Vampire creature card you own that isn't on the battlefield has madness. The madness cost is equal to its mana cost. (If you discard a card with madness, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",images/card_art/Falkenrath_Gorger/Falkenrath_Gorger_inr_152_16c376f5.png
the-nobles,Master of Dark Rites,Ramp,,default,Normal,0.22,Black,1,rare,Creature,3.49,"{T}, Sacrifice another creature: Add {B}{B}{B}. Spend this mana only to cast Vampire, Cleric, and/or Demon spells.",images/card_art/Master_of_Dark_Rites/Master_of_Dark_Rites_lcc_83_6394a522.png
the-nobles,Knight of the Ebon Legion,Counters,,default,Normal,0.14,Black,1,rare,Creature,3.49,"{2}{B}: This creature gets +3/+3 and gains deathtouch until end of turn. At the beginning of your end step, if a player lost 4 or more life this turn, put a +1/+1 counter on this creature. (Damage causes loss of life.)",images/card_art/Knight_of_the_Ebon_Legion/Knight_of_the_Ebon_Legion_m20_105_29425426.png
the-nobles,Vampire Socialite,Pump,,default,Normal,0.07,"Red,Black",2,uncommon,Creature,0.79,"Menace (This creature can't be blocked except by two or more creatures.) When this creature enters, if an opponent lost life this turn, put a +1/+1 counter on each other Vampire you control. As long as an opponent lost life this turn, each other Vampire you control enters with an additional +1/+1 counter on it.",images/card_art/Vampire_Socialite/Vampire_Socialite_mid_249_f07cbf04.png
the-nobles,Cordial Vampire,Counters,,default,Normal,0.42,Black,2,rare,Creature,1.79,"Whenever this creature or another creature dies, put a +1/+1 counter on each Vampire you control.",images/card_art/Cordial_Vampire/Cordial_Vampire_lcc_189_0d91e61d.png
the-nobles,Charismatic Conqueror,Tokens,,default,Normal,0.8,White,2,rare,Creature,18.99,"Vigilance Whenever an artifact or creature an opponent controls enters untapped, they may tap that permanent. If they don't, you create a 1/1 white Vampire creature token with lifelink.",images/card_art/Charismatic_Conqueror/Charismatic_Conqueror_lcc_70_599c934d.png
the-nobles,Legion Lieutenant,Anthem,,default,Normal,0.11,"White,Black",2,uncommon,Creature,0.35,Other Vampires you control get +1/+1.,images/card_art/Legion_Lieutenant/Legion_Lieutenant_lcc_275_85c6bd7d.png
