card name,category,secondary categories,label,modifier,salt,color,cmc,rarity,types,price,card text
Imperial Seal,Tutor,"",default,Normal,1.35,"Black",1,mythic,"Sorcery",179.99,"Search your library for a card, then shuffle and put that card on top. You lose 2 life."
Vampiric Tutor,Tutor,"",default,Normal,1.6,"Black",1,mythic,"Instant",84.99,"Search your library for a card, then shuffle and put that card on top. You lose 2 life."
Reanimate,Recursion,"",default,Normal,0.79,"Black",1,rare,"Sorcery",11.99,"Put target creature card from a graveyard onto the battlefield under your control. You lose life equal to that card's mana value."
Sol Ring,Ramp,"",default,Normal,1.46,"",1,uncommon,"Artifact",2.49,"{T}: Add {C}{C}."
Damn,Removal,"",default,Normal,0.36,"Black",2,rare,"Sorcery",2.79,"Destroy target creature. A creature destroyed this way can't be regenerated. Overload {2}{W}{W} (You may cast this spell for its overload cost. If you do, change ""target"" in its text to ""each."")"
Demonic Tutor,Tutor,"",default,Normal,1.58,"Black",2,mythic,"Sorcery",74.99,"Search your library for a card, put that card into your hand, then shuffle."
Enlightened Tutor,Tutor,"",default,Normal,1.15,"White",1,rare,"Instant",37.99,"Search your library for an artifact or enchantment card, reveal it, then shuffle and put that card on top."
Arcane Signet,Ramp,"",default,Normal,0.24,"",2,common,"Artifact",0.99,"{T}: Add one mana of any color in your commander's color identity."
Sidequest: Catch a Fish // Cooking Campsite,Ramp,"",default,Normal,0.19,"White",3,uncommon,"Enchantment,Land",0.35,"At the beginning of your upkeep, look at the top card of your library. If it's an artifact or creature card, you may reveal it and put it into your hand. If you put a card into your hand this way, create a Food token and transform this enchantment. // {T}: Add {W}. {3}, {T}, Sacrifice an artifact: Put a +1/+1 counter on each creature you control. Activate only as a sorcery."
Anguished Unmaking,Removal,"",default,Normal,0.23,"White,Black",3,rare,"Instant",4.49,"Exile target nonland permanent. You lose 3 life."
Wedding Announcement // Wedding Festivity,Draw,"",default,Normal,0.33,"White",3,rare,"Enchantment,Enchantment",0.79,"At the beginning of your end step, put an invitation counter on this enchantment. If you attacked with two or more creatures this turn, draw a card. Otherwise, create a 1/1 white Human creature token. Then if this enchantment has three or more invitation counters on it, transform it. // Creatures you control get +1/+1."
Herald's Horn,Ramp,"",default,Normal,0.21,"",3,uncommon,"Artifact",6.49,"As this artifact enters, choose a creature type. Creature spells you cast of the chosen type cost {1} less to cast. At the beginning of your upkeep, look at the top card of your library. If it's a creature card of the chosen type, you may reveal it and put it into your hand."
Victimize,Recursion,"",default,Normal,0.32,"Black",3,uncommon,"Sorcery",1.49,"Choose two target creature cards in your graveyard. Sacrifice a creature. If you do, return the chosen cards to the battlefield tapped."
Patchwork Banner,Ramp,"",default,Normal,0.5,"",3,uncommon,"Artifact",10.99,"As this artifact enters, choose a creature type. Creatures you control of the chosen type get +1/+1. {T}: Add one mana of any color."
Anointed Procession,Tokens,"",default,Normal,0.96,"White",4,rare,"Enchantment",69.99,"If an effect would create one or more tokens under your control, it creates twice that many of those tokens instead."
Smothering Tithe,Ramp,"",default,Normal,2.58,"White",4,mythic,"Enchantment",64.99,"Whenever an opponent draws a card, that player may pay {2}. If the player doesn't, you create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")"
Ruinous Ultimatum,Removal,"",default,Normal,1.02,"White,Red,Black",7,rare,"Sorcery",2.99,"Destroy all nonland permanents your opponents control."
Vanquisher's Banner,Draw,"",default,Normal,0.26,"",5,rare,"Artifact",6.49,"As this artifact enters, choose a creature type. Creatures you control of the chosen type get +1/+1. Whenever you cast a creature spell of the chosen type, draw a card."
Dazzling Theater // Prop Room,Ramp,"",default,Normal,0.24,"White",7,rare,"Enchantment,Enchantment",1.79,"Creature spells you cast have convoke. (Your creatures can help cast those spells. Each creature you tap while casting a creature spell pays for {1} or one mana of that creature's color.) (You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.) // Untap each creature you control during each other player's untap step. (You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)"
All-Out Assault,Anthem,"",default,Normal,0.32,"White,Red,Black",5,mythic,"Enchantment",4.49,"Creatures you control get +1/+1 and have deathtouch. When this enchantment enters, if it's your main phase, there is an additional combat phase after this phase followed by an additional main phase. When you next attack this turn, untap each creature you control."
Falkenrath Gorger,Draw,"",default,Normal,0.32,"Red",1,rare,"Creature",0.49,"Each Vampire creature card you own that isn't on the battlefield has madness. The madness cost is equal to its mana cost. (If you discard a card with madness, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
Master of Dark Rites,Ramp,"",default,Normal,0.22,"Black",1,rare,"Creature",3.49,"{T}, Sacrifice another creature: Add {B}{B}{B}. Spend this mana only to cast Vampire, Cleric, and/or Demon spells."
Knight of the Ebon Legion,Counters,"",default,Normal,0.14,"Black",1,rare,"Creature",3.49,"{2}{B}: This creature gets +3/+3 and gains deathtouch until end of turn. At the beginning of your end step, if a player lost 4 or more life this turn, put a +1/+1 counter on this creature. (Damage causes loss of life.)"
Vampire Socialite,Pump,"",default,Normal,0.07,"Red,Black",2,uncommon,"Creature",0.79,"Menace (This creature can't be blocked except by two or more creatures.) When this creature enters, if an opponent lost life this turn, put a +1/+1 counter on each other Vampire you control. As long as an opponent lost life this turn, each other Vampire you control enters with an additional +1/+1 counter on it."
Cordial Vampire,Counters,"",default,Normal,0.42,"Black",2,rare,"Creature",1.79,"Whenever this creature or another creature dies, put a +1/+1 counter on each Vampire you control."
