ID,NAME,TITLE,DATE,LOCATION,GITHUB,MOTTO,TEXT
cse180,🤖 CSE 180,Robotics,Spring 2019,,https://github.com/Mutilar/CSE180,"Autonomous systems through statistics","<ul style=""list-style-type: disc""><li>Programmed autonomous robot behaviors using C++ and ROS (Robot Operating System) on Linux, integrating sensor input with actuator control in real-time.</li><li>Developed CMake and Makefile build systems to compile and deploy robotics workspaces across multiple hardware configurations.</li><li>Completed homework assignments covering kinematics, sensor fusion, and motion planning for mobile robot platforms.</li><li>Collaborated with a partner to design, implement, and debug robotic control pipelines from perception to action.</li></ul>"
cse165,📦 CSE 165,OOP,Fall 2018,,https://github.com/Mutilar/CSE165,"Abstraction, encapsulation &amp; polymorphism","<ul style=""list-style-type: disc""><li>Completed six labs and a final project exploring core OOP concepts — classes, inheritance, polymorphism, templates, and operator overloading — in C and C++.</li><li>Built progressively complex programs emphasizing clean abstractions, encapsulation, and modular design patterns.</li><li>Developed a comprehensive final project demonstrating mastery of object-oriented design principles and software architecture.</li><li>Practiced disciplined version control and code organization across a multi-lab coursework repository.</li></ul>"
cse160,🌐 CSE 160,Networks,Fall 2018,,https://github.com/Mutilar/CSE160,"Protocols that connect the world","<ul style=""list-style-type: disc""><li>Implemented four networking projects covering transport protocols, routing, and distributed communication using nesC, Python, and C.</li><li>Built a TCP connector module handling reliable data transfer, flow control, and congestion management from scratch.</li><li>Completed homework assignments on network architecture, protocol design, and the OSI/TCP-IP model.</li><li>Gained hands-on experience with sensor network programming in nesC alongside traditional socket programming in Python and C.</li></ul>"
cse120,💻 CSE 120,Software Engineering,Spring 2019,,https://github.com/Mutilar/CSE120,"From requirements to deployments","<ul style=""list-style-type: disc""><li>Collaborated with a team to build <a href=""#projects"" onclick=""event.preventDefault(); navigateToModal('projects','motleymoves')"">MotleyMoves</a>, a web application to streamline race creation and participant tracking for a local nonprofit running club.</li><li>Developed a serverless C#/.NET backend on Azure Function Apps with an Azure SQL Database, handling 15+ API endpoints for race management, GPS tracking, and medical records.</li><li>Built a mobile-friendly front-end with Mapbox-powered interactive race course maps, Google Sign-In authentication, and FullCalendar event views.</li><li>Practiced agile software engineering methodologies including requirements gathering, sprint planning, and iterative delivery.</li></ul>"
cse111,🗃️ CSE 111,Databases,Fall 2018,,https://github.com/Mutilar/CSE111,"Formatting &amp; querying structured data","<ul style=""list-style-type: disc""><li>Designed and implemented relational database schemas across eight labs and a final project using T-SQL and SQLite.</li><li>Wrote complex SQL queries involving joins, subqueries, aggregations, views, stored procedures, and triggers to solve real-world data modeling problems.</li><li>Built a C# database application integrating programmatic data access with SQL backend logic.</li><li>Studied normalization theory, ER modeling, transaction management, and indexing strategies for database performance optimization.</li></ul>"
cse100,📊 CSE 100,Algorithms,Spring 2018,,https://github.com/Mutilar/CSE100,"The art of solving problems efficiently","<ul style=""list-style-type: disc""><li>Implemented 17 algorithm labs in C++ covering sorting (insertion, merge, quick, heap, bucket, radix), searching (linear, binary), and advanced data structures (hash maps, BSTs).</li><li>Built graph algorithms including BFS/DFS traversal and minimum spanning trees (Kruskal's and Prim's).</li><li>Implemented dynamic programming solutions for rod cutting, matrix chain multiplication, and Huffman coding.</li><li>Analyzed time and space complexity of each algorithm, comparing theoretical bounds with empirical benchmarks via shell scripts.</li></ul>"
cse031,⚙️ CSE 31,Computer Organization,Fall 2017,,https://github.com/Mutilar/CSE031,"Understanding the logic beneath the abstraction","<ul style=""list-style-type: disc""><li>Programmed in MIPS assembly and C across 10 labs, 8 homework assignments, and 2 projects covering CPU architecture, memory hierarchy, and instruction-level parallelism.</li><li>Implemented low-level routines including arithmetic operations, string manipulation, stack management, and recursive procedures in MIPS assembly.</li><li>Built projects exploring processor datapath design and cache simulation, bridging the gap between hardware and software.</li><li>Studied instruction set architecture, pipelining, virtual memory, and I/O systems to understand how high-level code maps to machine execution.</li></ul>"
cse030,📚 CSE 30,Data Structures,Spring 2017,,https://github.com/Mutilar/CSE030,"Building blocks used in every program &amp; script","<ul style=""list-style-type: disc""><li>Implemented fundamental data structures in C++ across 13 labs and 2 homework assignments — linked lists, stacks, queues, trees, heaps, and hash tables.</li><li>Built and tested each structure from scratch, emphasizing pointer manipulation, dynamic memory allocation, and algorithmic efficiency.</li><li>Studied the trade-offs between sequential and linked representations, balancing time complexity with memory overhead.</li><li>Developed debugging and testing practices for complex pointer-based data structures in a systems programming environment.</li></ul>"
cse015,🔢 CSE 15,Discrete Mathematics,Fall 2016,,https://github.com/Mutilar/CSE015,"Mathematical foundations of computer science","<ul style=""list-style-type: disc""><li>Completed 11 written homework assignments and 4 Python programming assignments covering logic, proofs, set theory, combinatorics, and graph theory.</li><li>Implemented discrete math concepts programmatically in Python — truth tables, set operations, counting algorithms, and graph traversals.</li><li>Studied propositional and predicate logic, proof techniques (direct, contradiction, induction), relations, functions, and recurrence relations.</li><li>Built foundational mathematical reasoning skills essential for algorithm analysis, cryptography, and formal verification.</li></ul>"
ropgamedesign,🕹️ ROP Game Design,Game Design,Spring 2016,,,"Designing interactive worlds from concept to controller","<ul style=""list-style-type: disc""><li>Designed and developed 2D and 3D games in Unity using C#, iterating through full game development cycles from concept and prototyping to playtesting and polish.</li><li>Created game design documents covering mechanics, level design, player progression, and user experience for original game concepts.</li><li>Implemented core gameplay systems including player controllers, enemy AI, collision detection, scoring, and UI menus.</li><li>Collaborated with peers on team-based projects, managing asset pipelines, version control, and integration of art, audio, and code.</li></ul>"
