ID,NAME,TITLE,DATE,LOCATION,GITHUB,MOTTO,TEXT
microsoft,"🪟 Microsoft","Senior SWE, SWE I &amp; II, SWE Intern","Summer 2019, Spring 2020 - Fall 2025, Winter 2025 - Present","Bellevue, Washington",https://github.com/microsoft,Empowering every person &amp; every organization on the planet to achieve more,"<ul style=""list-style-type: disc""><li>Brought Azure Machine Learning Online Endpoints' data plane to general availability, now serving 8 billion real-time inferencing requests per day.</li><li>Volunteering as DRI Champ to spearhead engineering process improvements.</li><li>Deployed microservices across 30 regions on Azure Virtual Machine Scale Sets and set up telemetry flows in Azure Data Explorer and dashboards in PowerBI.</li><li>Created Envoy Proxy build pipeline with Bazel, and implemented C++ filters:<ul><li>SHA-256 key-based authentication filter with CORS preflight support.</li><li>Azure Active Directory authentication filter with LRU decision cache.</li><li>Global rate limit access control filter with Go microservice, Redis cache.</li></ul></li><li>Designed and built an agentless Jupyter notebook validation pipeline with Azure DevOps Pipelines, Azure ML SDK and Azure Functions to improve runner CI. <a href=""#projects"" onclick=""event.preventDefault(); navigateToModal('projects','azuremlops')"">Azure MLOps →</a></li></ul>"
ventana,"🔬 Ventana",SWE Intern,Summer 2018,"Santa Clara, California",,Improving the quality of life for all patients afflicted with cancer,"<ul style=""list-style-type: disc""><li>Pushed feature-adds and bug-fixes for MEAN stack digital pathology web app.</li><li>Prototyped OpenSeaDragon-esque image and annotation renderer in Pixi.Js.</li><li>Modernized Nagios server monitoring with Icinga, Graphite and Grafana.</li></ul><figure class='modal-figure'><img src='images/ventana-poster.png' alt='Ventana internship poster'></figure>"
vicelab,"🛰️ VICE Lab",Geospatial RA,Winter 2018,"Merced, California",https://github.com/vicelab,Focusing on pressing environmental problems facing California &amp; the planet,"<ul style=""list-style-type: disc""><li>Led team to develop heuristic and ML scripts in Google Earth Engine to model and predict California's agricultural fallowing using observation satellite data.</li><li>Onboarded lab to GitHub and open-sourced scripts written in Python, C# and R.</li><li>Refurbished lab's website, now hosting on GitHub Pages: <a href=""http://vicelab.net"">vicelab.net</a>.</li></ul><figure class='modal-figure'><img src='images/vicelab_page.png' alt='VICE Lab website'></figure>"
andeslab,"📡 ANDES Lab",Computational RA,Spring 2019,"Merced, California",,Providing solutions to grand challenge problems around building &amp; deploying usable systems,"<ul style=""list-style-type: disc""><li>Visualized InfluxDB data for HVAC predictive control system in Python, Grafana.</li></ul>"
maces,"🚀 MACES",Computational RA,Spring 2018,"Merced, California",https://github.com/Mutilar/Firmi-1,"Innovating functional materials &amp; future scientists to drive NASA missions &amp; the globe","<ul style=""list-style-type: disc""><li>Worked on <a href=""#projects"" onclick=""event.preventDefault(); navigateToModal('projects','firmi')"">Firmi</a> to 3D-print Fermi surfaces via Marching cubes in Fortran90.</li></ul>"
citris,"🏙️ CITRIS & Banatao Institute","Event Organizer, Web Developer","Summer 2017, Winter 2017","Merced, California",https://github.com/citris-ucmerced,Creating information technology solutions for society's most pressing challenges,"<ul style=""list-style-type: disc""><li>Developed GitOps content management system via jQuery and CSV files to replace Drupal stack, now hosting on GitHub Pages: <a href=""https://citris.ucmerced.edu"">citris.ucmerced.edu</a>.</li></ul><figure class='modal-figure'><img src='images/citris-page.png' alt='CITRIS & Banatao Institute website'></figure><figure class='modal-figure'><img src='images/cyberaware_page.png' alt='CyberAware event page'></figure><figure class='modal-figure'><img src='images/mac_page.png' alt='Mobile App Challenge page'></figure><figure class='modal-figure'><img src='images/citris-group.png' alt='CITRIS & Banatao Institute group photo'></figure>"
hackmerced,💻 HackMerced,Director,Fall 2019,"Merced, California",https://github.com/HackMerced,Bringing technological innovation to the heart of the San Joaquin Valley since 2016,"<ul style=""list-style-type: disc""><li>Hosted MLH hackathon for 300 students, fundraising $20,000 from sponsors!</li></ul>"
learnbeat,📚 LearnBEAT,Instructor,Oct 2017 - Dec 2017,"Merced, California",,"Increasing scientific literacy in the Central Valley through project-based learning","<ul style=""list-style-type: disc""><li>Taught hands-on STEM workshops to underserved K–12 students in the Central Valley, increasing scientific literacy through interactive experiments and project-based learning.</li></ul><figure class='modal-figure'><img src='images/learnbeat-people.png' alt='Learn BEAT team'></figure>"
acm,"🤝 ACM",Outreach Lead,"Summer 2017","Merced, California",,"Advancing computing as a science & profession","<ul style=""list-style-type: disc""><li>Organized outreach events and coding workshops to promote computing as a science and profession.</li></ul>"
alamorobotics,🤖 Alamo Robotics,Volunteer,Summer 2015,"Alamo, California",,"Using Lego Mindstorm as a platform to teach the next generation of engineers","<ul style=""list-style-type: disc""><li>Mentored young students in programming and building robots with Lego Mindstorm, fostering problem-solving and engineering skills in the next generation.</li></ul>"
summerofgamedesign,🕹️ Summer of Game Design,"Instructor, Founder","Summer 2015, Summer 2016","Danville, California",https://github.com/Mutilar/SpaceNinjas,"Using game design as an engaging medium to teach computer science","<ul style=""list-style-type: disc""><li>Co-founded non-profit game programming summer camp, fundraising $25,000!</li><li>Created <a href=""#games"" onclick=""event.preventDefault(); navigateToModal('games','spaceninjas')"">SpaceNinjas</a>, a boilerplate 2D platformer used as a teaching aid.</li></ul><figure class='modal-figure'><img src='images/summerofgamedesign-website.png' alt='Summer of Game Design website'></figure>"
