card name,types,art
"Aclazotz, Deepest Betrayal // Temple of the Dead","Creature,Land","images/card_art/Aclazotz,_Deepest_Betrayal_Temple_of_the_Dead/Aclazotz,_Deepest_Betrayal_Temple_of_the_Dead_lci_88_627c392c_front.png"
Akroma's Will,"Instant","images/card_art/Akroma's_Will/Akroma's_Will_cmr_3_c281997b.png"
All-Out Assault,"Enchantment","images/card_art/All-Out_Assault/All-Out_Assault_ptdm_167p_99b64c3f.png"
Anguished Unmaking,"Instant","images/card_art/Anguished_Unmaking/Anguished_Unmaking_2x2_170_16de91dc.png"
"Anje, Maid of Dishonor","Creature","images/card_art/Anje,_Maid_of_Dishonor/Anje,_Maid_of_Dishonor_pvow_231s_3b2b39d7.png"
Anointed Procession,"Enchantment","images/card_art/Anointed_Procession/Anointed_Procession_pakh_2s_a425c968.png"
Arcane Signet,"Artifact","images/card_art/Arcane_Signet/Arcane_Signet_40k_227_44ff370e.png"
Arid Mesa,"Land","images/card_art/Arid_Mesa/Arid_Mesa_mh2_244_25ac5405.png"
Baron Bertram Graywater,"Creature","images/card_art/Baron_Bertram_Graywater/Baron_Bertram_Graywater_otj_195_e9da18b4.png"
Black Market Connections,"Enchantment","images/card_art/Black_Market_Connections/Black_Market_Connections_clb_669_d13cb0d3.png"
Blightstep Pathway // Searstep Pathway,"Land","images/card_art/Blightstep_Pathway_Searstep_Pathway/Blightstep_Pathway_Searstep_Pathway_khm_252_0ce39a19_front.png"
Blood Artist,"Creature","images/card_art/Blood_Artist/Blood_Artist_2x2_70_693dd112.png"
Blood Crypt,"Land","images/card_art/Blood_Crypt/Blood_Crypt_sld_125_1716b4dd.png"
Bloodletter of Aclazotz,"Creature","images/card_art/Bloodletter_of_Aclazotz/Bloodletter_of_Aclazotz_lci_92_d4f6027a.png"
Bloodstained Mire,"Land","images/card_art/Bloodstained_Mire/Bloodstained_Mire_ktk_230_7f430794.png"
Bloodthirsty Conqueror,"Creature","images/card_art/Bloodthirsty_Conqueror/Bloodthirsty_Conqueror_fdn_58_ce860ed4.png"
Boros Guildgate,"Land","images/card_art/Boros_Guildgate/Boros_Guildgate_fdn_684_3e3c74ea.png"
Brightclimb Pathway // Grimclimb Pathway,"Land","images/card_art/Brightclimb_Pathway_Grimclimb_Pathway/Brightclimb_Pathway_Grimclimb_Pathway_plst_ZNR-259_6a91d75c_front.png"
Castle Locthwain,"Land","images/card_art/Castle_Locthwain/Castle_Locthwain_clb_884_19336e3a.png"
